,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
0,2022-09-09 16:04:31+00:00,2022-06-21 11:10:21+00:00,['Jens Ducrée'],,,cs.GL,"['cs.GL', 'cs.CR', '91-03, 01A61', 'E.3; K.2']",2206.10257,14
1,2012-06-25 00:09:32+00:00,2005-07-05 17:03:37+00:00,['Craig Alan Feinstein'],"Progress in Physics, 2006, v. 3, 35-42",,cs.CC,"['cs.CC', 'cs.GL', 'F.1.3; F.2.2']",cs/0507008,7
2,2018-09-19 01:20:34+00:00,2018-03-06 07:19:55+00:00,['Attila Egri-Nagy'],,,cs.CY,"['cs.CY', 'cs.GL']",1803.05998,4
3,2009-10-04 15:23:16+00:00,2006-07-03 04:03:23+00:00,['Boris D. Lubachevsky'],,,cs.NE,"['cs.NE', 'cs.GL', 'F.1.1; J.3']",cs/0607007,4
4,2015-05-10 16:23:39+00:00,2014-10-25 22:43:33+00:00,"['Christoph Becker', 'Ruzanna Chitchyan', 'Leticia Duboc', 'Steve Easterbrook', 'Martin Mahaux', 'Birgit Penzenstadler', 'Guillermo Rodriguez-Navas', 'Camille Salinesi', 'Norbert Seyff', 'Colin Venters', 'Coral Calero', 'Sedef Akinli Kocak', 'Stefanie Betz']",,,cs.SE,"['cs.SE', 'cs.GL']",1410.6968,4
5,2012-01-30 22:01:07+00:00,2011-12-17 20:20:36+00:00,"['Theodore P. Hill', 'Erika Rogers']",,,math.HO,"['math.HO', 'cs.GL', 'physics.ed-ph', 'physics.soc-ph', '01A80, 01A07, 01A99']",1112.4082,4
6,2019-08-26 19:29:48+00:00,2018-03-06 05:50:35+00:00,"['Sakib Mahmud Khan', 'Mashrur Chowdhury', 'Eric A Morris', 'Lipika Deka']",Journal of Infrastructure Systems 2019,10.1061/(ASCE)IS.1943-555X.0000507,cs.CY,"['cs.CY', 'cs.GL']",1803.05997,4
7,2008-04-08 21:39:09+00:00,2008-01-10 16:46:04+00:00,"['Frank W. Bentrem', 'John T. Sample', 'Michael M. Harris']","Scientific Computing, vol. 25, no. 2, pp. 30-32 (March 2008)",,cs.MA,"['cs.MA', 'cs.GL', 'I.2.11; J.2']",0801.1630,3
8,2010-10-11 11:01:40+00:00,2008-07-25 16:09:16+00:00,"['Carlo A. Furia', 'Dino Mandrioli', 'Angelo Morzenti', 'Matteo Rossi']","ACM Computing Surveys, 42(2):1--59, February 2010",10.1145/1667062.1667063,cs.GL,['cs.GL'],0807.4132,3
9,2020-04-19 11:13:27+00:00,2020-01-30 15:15:59+00:00,['Jean-Christophe Pain'],,,math-ph,"['math-ph', 'astro-ph.GA', 'cs.GL', 'math.MP', 'physics.atom-ph']",2001.11893,3
10,2011-08-09 20:18:03+00:00,2011-02-23 02:31:18+00:00,['Joseph F. Grcar'],,,math.HO,"['math.HO', 'cs.CY', 'cs.GL']",1102.4651,3
11,2019-07-29 16:58:06+00:00,2018-11-06 18:02:40+00:00,['Jerome Feldman'],,10.1007/s41470-019-00041-4,cs.GL,"['cs.GL', 'cs.AI', 'q-bio.NC']",1811.06825,3
12,2006-02-09 22:09:59+00:00,2005-05-03 19:23:35+00:00,['Carlos Gershenson'],,,nlin.AO,"['nlin.AO', 'cs.GL', 'cs.SE', 'physics.soc-ph']",nlin/0505009,3
13,2020-01-05 18:03:31+00:00,2019-08-02 07:00:41+00:00,['János Végh'],,,cs.GL,['cs.GL'],1908.02651,3
14,2004-03-11 14:27:31+00:00,2004-03-08 17:50:32+00:00,['Wolfram Schmied'],,,cs.AI,"['cs.AI', 'cs.GL', 'I.2.0']",cs/0403009,2
15,2004-11-08 07:17:42+00:00,2004-11-05 12:38:05+00:00,['Serban E. Vlad'],"The 12-th Conference on Applied and Industrial Mathematics CAIM
  2004, University of Pitesti, October 15-17, 2004",,cs.GL,['cs.GL'],cs/0411009,2
16,2022-09-17 16:46:07+00:00,2022-08-06 13:24:20+00:00,"['Emily Ruppel', 'Sihang Liu', 'Elba Garza', 'Sukyoung Ryu', 'Alexandra Silva', 'Talia Ringer']",,,cs.CY,"['cs.CY', 'cs.GL', 'cs.PL']",2208.04738,2
17,2006-07-25 19:26:39+00:00,2006-01-26 09:08:51+00:00,"['Marc Barthelemy', 'Alessandro Flammini']",J. Stat. Mech. (2006) L07002,10.1088/1742-5468/2006/07/L07002,physics.soc-ph,"['physics.soc-ph', 'cond-mat.dis-nn', 'cs.GL']",physics/0601203,2
18,2018-01-16 14:59:32+00:00,2017-07-20 08:39:29+00:00,"['Stefan Pfenninger', 'Lion Hirth', 'Ingmar Schlecht', 'Eva Schmid', 'Frauke Wiese', 'Tom Brown', 'Chris Davis', 'Birgit Fais', 'Matthew Gidden', 'Heidi Heinrichs', 'Clara Heuberger', 'Simon Hilpert', 'Uwe Krien', 'Carsten Matke', 'Arjuna Nebel', 'Robbie Morrison', 'Berit Müller', 'Guido Pleßmann', 'Matthias Reeg', 'Jörn C. Richstein', 'Abhishek Shivakumar', 'Iain Staffell', 'Tim Tröndle', 'Clemens Wingenbach']","Energy Strategy Reviews, Volume 19, January 2018, Pages 63-71",10.1016/j.esr.2017.12.002,cs.CY,"['cs.CY', 'cs.GL']",1707.08164,2
19,2022-10-30 12:23:23+00:00,2022-06-22 09:57:06+00:00,"['Arnald Puy', 'Andrea Saltelli']",,,cs.GL,"['cs.GL', 'math.HO']",2207.12230,2
20,2022-07-25 03:10:31+00:00,2022-07-15 20:17:50+00:00,"['Haiyi Mao', 'Minxue Jia', 'Jason Xiaotian Dou', 'Haotian Zhang', 'Panayiotis V. Benos']",,,q-bio.GN,"['q-bio.GN', 'cs.AI', 'cs.GL']",2207.07734,2
21,2000-04-07 23:42:37+00:00,1999-05-13 21:44:55+00:00,"['Alexandre Blais', 'Alexandre M. Zagoskin']","Physical Review A, v.61, 042308 (2000)",10.1103/PhysRevA.61.042308,quant-ph,"['quant-ph', 'cond-mat.mes-hall', 'cond-mat.other', 'cond-mat.supr-con', 'cs.GL']",quant-ph/9905043,2
22,2018-06-18 08:26:30+00:00,2017-08-28 06:45:57+00:00,"['Fabien Benureau', 'Nicolas Rougier']",,10.3389/fninf.2017.00069,cs.GL,"['cs.GL', 'cs.CY']",1708.08205,2
23,2004-11-16 05:15:12+00:00,2004-02-17 06:54:26+00:00,['P. H. Potgieter'],"Suid-Afrikaanse Tydskrif vir Natuurwetenskap en Tegnologie, Vol
  23, Issue 1 / 2, Mar / Jun, 2-6 (2004)",,cs.GL,"['cs.GL', 'F.1.2']",cs/0402037,2
24,2006-05-18 07:22:53+00:00,2006-03-01 15:26:33+00:00,"['Igor Podlubny', 'Katarina Kassayova']","Research Evaluation, vol. 15, no. 3, December 2006, pp. 154-162",,math.ST,"['math.ST', 'cs.GL', 'physics.soc-ph', 'stat.TH', '00A99']",math/0603024,2
25,2006-09-27 09:43:52+00:00,2006-08-15 16:40:24+00:00,['Solomon Feferman'],"Logical Methods in Computer Science, Volume 2, Issue 3 (September
  27, 2006) lmcs:2248",10.2168/LMCS-2(3:6)2006,cs.GL,"['cs.GL', 'cs.LO', 'F.4.1; F.4.3']",cs/0608062,2
26,2018-08-26 09:10:53+00:00,2018-06-11 14:09:03+00:00,['Lawrence C Paulson'],"Biographical Memoirs of Fellows of the Royal Society 65 (2018),
  89-113",10.1098/rsbm.2018.0019,cs.GL,"['cs.GL', 'cs.SE']",1806.04002,2
27,2013-07-05 14:09:11+00:00,2007-01-04 09:45:28+00:00,['Franco Milicchio'],,,cs.OS,"['cs.OS', 'cs.GL']",cs/0701021,2
28,2020-06-04 07:44:12+00:00,2018-10-25 13:57:21+00:00,"['Alexey N. Medvedev', 'Renaud Lambiotte', 'Jean-Charles Delvenne']","In: Ghanbarnejad F., Saha Roy R., Karimi F., Delvenne JC., Mitra
  B. (eds) Dynamics On and Of Complex Networks III. DOOCN 2017. Springer
  Proceedings in Complexity. Springer, Cham",10.1007/978-3-030-14683-2_9,cs.SI,"['cs.SI', 'cs.GL']",1810.10881,2
