,update_time,publish_time,authors,journal_ref,doi,primary_category,categories,entry_id,version
0,2022-06-19 04:45:35+00:00,2020-12-30 08:41:51+00:00,"['Mingqi Yuan', 'Qi Cao', 'Man-on Pun', 'Yi Chen']",APSIPA Transactions on Signal and Information Processing (2022),,cs.OS,"['cs.OS', 'cs.AI', 'cs.LG', 'cs.NI']",2012.15081,14
1,2017-10-26 03:27:40+00:00,2016-04-05 19:33:27+00:00,"['Gang Lu', 'Jianfeng Zhan', 'Chongkang Tan', 'Xinlong Lin', 'Defei Kong', 'Chen Zheng', 'Fei Tang', 'Cheng Huang', 'Lei Wang', 'Tianshu Hao']",,,cs.OS,"['cs.OS', 'D.4.0; D.4.6; D.4.7']",1604.01378,5
2,2021-11-24 12:51:43+00:00,2019-07-02 21:04:47+00:00,"['Mark D. Hill', 'Vijay Janapa Reddi']",,,cs.DC,"['cs.DC', 'cs.OS', 'cs.PF', 'cs.PL']",1907.02064,5
3,2019-08-29 04:53:09+00:00,2018-12-24 03:55:32+00:00,"['Thomas Bourgeat', 'Ilia Lebedev', 'Andrew Wright', 'Sizhuo Zhang', 'Arvind', 'Srinivas Devadas']",,,cs.CR,"['cs.CR', 'cs.OS']",1812.09822,5
4,2022-10-21 22:02:53+00:00,2022-03-01 05:32:52+00:00,"['Huaicheng Li', 'Daniel S. Berger', 'Stanko Novakovic', 'Lisa Hsu', 'Dan Ernst', 'Pantea Zardoshti', 'Monish Shah', 'Samir Rajadnya', 'Scott Lee', 'Ishwar Agarwal', 'Mark D. Hill', 'Marcus Fontoura', 'Ricardo Bianchini']",,,cs.OS,"['cs.OS', 'cs.PF']",2203.00241,4
5,1999-04-01 00:41:47+00:00,1999-03-04 02:13:35+00:00,['Denvil Smith'],,,cs.DC,"['cs.DC', 'cs.OS', 'B.4.4; C.2.6; D.4.4']",cs/9903004,4
6,2016-06-29 20:42:04+00:00,2015-06-04 02:11:27+00:00,"['Sebastian Angel', 'Riad S. Wahby', 'Max Howald', 'Joshua B. Leners', 'Michael Spilo', 'Zhen Sun', 'Andrew J. Blumberg', 'Michael Walfish']","Proc. USENIX Security (2016), 397--414",,cs.OS,"['cs.OS', 'cs.CR']",1506.01449,4
7,2019-07-10 21:59:00+00:00,2018-10-03 03:27:51+00:00,"['Dave Dice', 'Alex Kogan']",,,cs.OS,"['cs.OS', 'D.1.3']",1810.01573,4
8,2018-04-19 00:06:48+00:00,2017-07-17 16:12:15+00:00,"['Farzad Farshchi', 'Prathap Kumar Valsan', 'Renato Mancuso', 'Heechul Yun']",,,cs.AR,"['cs.AR', 'cs.OS', 'cs.PF']",1707.05260,4
9,2019-05-20 16:35:52+00:00,2019-03-22 13:08:13+00:00,"['Fabien Bouquillon', 'Clément Ballabriga', 'Giuseppe Lipari', 'Smail Niar']",,,cs.OS,"['cs.OS', 'cs.DC']",1903.09310,4
10,2021-12-08 19:57:34+00:00,2020-12-23 18:34:45+00:00,"['Matan Rusanovsky', 'Hagit Attiya', 'Ohad Ben-Baruch', 'Tom Gerby', 'Danny Hendler', 'Pedro Ramalhete']",,,cs.DC,"['cs.DC', 'cs.OS']",2012.12868,4
11,2022-01-05 23:57:48+00:00,2021-02-07 17:46:25+00:00,"['Dave Dice', 'Alex Kogan']",,,cs.DC,"['cs.DC', 'cs.OS', 'D.4.1']",2102.03863,4
12,2021-02-08 20:07:02+00:00,2020-05-19 19:46:01+00:00,"['Samantha Miller', 'Kaiyuan Zhang', 'Mengqi Chen', 'Ryan Jennings', 'Ang Chen', 'Danyang Zhuo', 'Tom Anderson']",,,cs.OS,['cs.OS'],2005.09723,3
13,2020-08-13 18:00:46+00:00,2020-02-16 05:51:41+00:00,"['Rakesh Rajan Beck', 'Abhishek Vijeev', 'Vinod Ganapathy']",,10.1145/3372297.3417858,cs.CR,"['cs.CR', 'cs.OS']",2002.06512,3
14,2008-06-10 07:13:01+00:00,2008-05-30 07:01:51+00:00,"['Lamia Benmouffok', 'Jean-Michel Busca', 'Joan Manuel Marquès', 'Marc Shapiro', 'Pierre Sutra', 'Georgios Tsoukalas']",,,cs.OS,"['cs.OS', 'cs.DC']",0805.4680,3
15,2016-03-12 18:13:31+00:00,2015-12-23 22:41:04+00:00,"['Eric Missimer', 'Katherine Zhao', 'Richard West']",,,cs.OS,['cs.OS'],1512.07654,3
16,2022-01-14 09:12:31+00:00,2021-12-13 11:19:01+00:00,"['Hugo Lefeuvre', 'Vlad-Andrei Bădoiu', 'Alexander Jung', 'Stefan Teodorescu', 'Sebastian Rauch', 'Felipe Huici', 'Costin Raiciu', 'Pierre Olivier']",,,cs.OS,['cs.OS'],2112.06566,3
17,2014-01-30 21:39:39+00:00,2013-12-13 20:53:39+00:00,"['Jiajun Cao', 'Gregory Kerr', 'Kapil Arya', 'Gene Cooperman']",,,cs.OS,"['cs.OS', 'cs.DC', 'D.0']",1312.3938,3
18,2011-01-24 12:39:16+00:00,2010-01-25 08:09:27+00:00,"['Shelby Funk', 'Vincent Nelis', 'Joel Goossens', 'Dragomir Milojevic', 'Geoffrey Nelissen']",,,cs.OS,"['cs.OS', 'cs.DC']",1001.4115,3
19,2019-12-26 05:58:49+00:00,2019-08-30 10:53:00+00:00,"['Shubhendra Pal Singhal', 'M. Sridevi', 'N Sathya Narayanan', 'M J Shankar Raman']",,,cs.OS,['cs.OS'],1908.11648,3
20,2009-02-24 18:13:25+00:00,2007-01-06 11:36:50+00:00,"['Jason Ansel', 'Kapil Arya', 'Gene Cooperman']",,,cs.DC,"['cs.DC', 'cs.OS', 'D.4.5']",cs/0701037,3
21,2022-09-06 11:10:37+00:00,2019-11-26 21:05:00+00:00,['Lei Liu'],,,cs.DC,"['cs.DC', 'cs.LG', 'cs.OS']",1911.13208,3
22,2020-11-23 14:19:30+00:00,2020-09-03 18:30:02+00:00,"['Zahra Tarkhani', 'Anil Madhavapeddy']",,,cs.CR,"['cs.CR', 'cs.OS']",2009.01869,3
23,2021-01-19 18:35:27+00:00,2020-07-14 02:16:56+00:00,"['Jayashree Mohan', 'Amar Phanishayee', 'Ashish Raniwala', 'Vijay Chidambaram']",,,cs.DC,"['cs.DC', 'cs.LG', 'cs.OS']",2007.06775,3
24,2007-07-27 13:50:46+00:00,2007-06-26 12:36:37+00:00,"['Pierre Parrend', 'Stéphane Frénot']",,,cs.CR,"['cs.CR', 'cs.OS']",0706.3812,3
25,2021-05-09 19:21:04+00:00,2020-08-27 00:20:00+00:00,"['HyunJong Lee', 'Shadi Noghabi', 'Brian Noble', 'Matthew Furlong', 'Landon P. Cox']",,,cs.DC,"['cs.DC', 'cs.OS']",2008.11868,3
26,2022-08-21 21:00:41+00:00,2022-03-19 17:21:01+00:00,"['Philippos Papaphilippou', 'Myrtle Shah']",,,cs.AR,"['cs.AR', 'cs.OS']",2203.10359,3
27,2020-04-09 16:32:50+00:00,2016-08-13 22:14:47+00:00,"['Zhiyong Shan', 'Xin Wang', 'Tzi-cker Chiueh', 'Rajiv Bagai']",,,cs.OS,['cs.OS'],1608.08051,3
28,2022-09-17 01:52:44+00:00,2022-03-19 02:49:55+00:00,"['Xingda Wei', 'Fangming Lu', 'Tianxia Wang', 'Jinyu Gu', 'Yuhan Yang', 'Rong Chen', 'Haibo Chen']",,,cs.OS,"['cs.OS', 'cs.DC']",2203.10225,3
29,2020-01-20 12:10:51+00:00,2019-08-29 10:25:37+00:00,"['Christian Priebe', 'Divya Muthukumaran', 'Joshua Lind', 'Huanzhou Zhu', 'Shujie Cui', 'Vasily A. Sartakov', 'Peter Pietzuch']",,,cs.OS,"['cs.OS', 'cs.CR']",1908.11143,3
